id,calories,proteins,fat,carbohydrate,name
301,74,6.3,0.7,10.7,Daun singkong kopang segar
302,55,4,0.5,8.5,Daun Singkong lodeh
303,31,3.7,0.6,4.8,Daun Singkong rebus
304,50,6.2,1.1,7.1,Daun singkong segar
305,36,2.6,0.9,6.1,Daun Sintrong
306,27,1.3,0.2,5.9,Daun talas rebus
307,59,3,0.4,13.5,Daun talas segar
308,71,4.1,2.1,12.3,Daun Tales
309,27,1.3,0.2,5.9,Daun Tales rebus
310,70,2.9,0.3,13.9,Daun tespong segar
311,47,2.8,0.4,10.4,Daun Ubi Jalar
312,56,3.1,0.3,13,Daun Ubi Jalar kukus
313,62,3.7,0.3,11.1,Daun ubi kuning segar
314,56,3.1,0.3,13,Daun ubi merah kukus
315,48,3,0.3,10.8,Daun ubi merah segar
316,46,2.8,0.2,8.2,Daun ubi putih segar
317,55,1.7,0.1,11.9,Daun ubi tinta segar
318,260,2,15,53,Deblo 
319,382,55.7,14.1,8,Dendeng belut goreng
320,433,55,9,0,Dendeng Daging Sapi
321,598,74.3,26.9,9.2,Dendeng mujahir goreng
322,77,13.8,1.9,0.7,Dideh darah ayam
323,104,21.9,1.1,0,Dideh darah sapi
324,248,10,2.3,40.9,Djibokum masakan
325,395,3,5.7,81.2,Dodol
326,298,3.7,2.1,65.9,Dodol bali
327,368,2.6,8.6,70,Dodol banjarmasin
328,348,0.4,3.8,76.1,Dodol galamai
329,331,1.9,7.6,63.8,Dodol kedondong
330,373,4.3,16.5,51.9,Dodol manado
331,17.5,3.3,2.3,39.5,Dodonkol 
332,317,15.7,27.7,0,Domba daging gemuk segar
333,202,17.1,14.8,0,Domba daging kurus  segar
334,100,16.6,3.3,1,Domba ginjal segar
335,63,1,0.2,16.1,Duku
336,134,2.5,3,28,durian
337,80,0.5,0.6,18.2,Duwet segar
338,18,1,0.2,3.8,Eceng Gondok
339,98,1.4,0.2,25.4,Embacang
340,248,36.2,6.9,10.1,Empal (daging) Goreng masakan
341,590,18.5,57,0,Empal Goreng
342,345,12,1.5,71.5,Emping (kerupuk melinjo)
343,403,10.6,2.2,85.3,Emping beras
344,355,17.8,4.6,60.7,Emping komak
345,122,3.5,4.5,17.5,Encung asam segar
346,538,13.6,30.3,52.6,Enting-enting gepuk hello kity
347,524,13.3,29.2,52,Enting-enting gepuk kacang tanah
348,565,18.2,38.4,36.8,Enting-enting wijen
349,70,0.6,0,18.9,Erbis
350,210,4,12.5,20.6,es krim
351,156.7,3,1.7,32.7,Es Krim (Coconut milk) 
352,152,0,0,37.6,Es Mambo 
353,44.8,0,0,11.3,Es Sirup 
354,270,12.3,15.9,19.3,Fillet o-fish
355,322,2.4,0.6,76.6,Gadeng/Gadung kering
356,137,6.1,3.2,21,Gado-gado
357,88,0.8,0.3,20.9,Gadung kukus
358,101,2.1,0.2,23.2,Gadung mentah
359,88,0.6,0.3,20.9,Gadung ubi kukus
360,100,0.9,0.3,23.5,Gadung ubi segar
361,18,0.8,0.2,4.1,Gambas (Oyong)
362,13,0.3,0.6,1.6,Gambas lodeh
363,68,0.7,0.1,18,Gandaria
364,100,0.8,0.2,23.8,Ganyong kukus
365,95,1,0.1,22.6,Ganyong mentah
366,100,0.8,0.2,23.8,Ganyong rebus
367,77,0.6,0.2,18.4,Ganyong segar
368,338,1.5,0.7,81.3,Gaplek
369,191,4.5,1.5,39.7,Gatep segar
370,347,1.3,0.7,83.8,Gatot
371,195,0.4,1.7,44.4,Geblek
372,389,0,0,91,Gelatine
373,95,1.5,0.1,22.4,Gembili
374,131,1.1,0.2,31.3,Gembili ubi segar
375,274,1.7,5.4,55.5,Gemblong
376,407,6.4,28.2,32,Gendar goreng
377,35,1.7,0.2,7.7,Genjer segar
378,350,1.4,14.4,53.6,Geplak
379,462,3.1,24.4,57.7,Geplak jahe
380,75,8.2,2,6,Gete kuah asam masakan
381,360,1.3,6.4,74.3,Getuk goreng
382,171.4,4,4,32,Getuk Lindri 
383,144,1.1,0.4,34.1,Getuk pisang
384,204,0.5,1.4,47.4,Getuk singkong
385,114,16.3,4.6,0.8,Ginjal Babi
386,105,16.6,3.3,1,Ginjal Domba
387,141,15,8.1,0.9,Ginjal Sapi
388,53,1.6,1.6,8.8,gudeg 
389,160,3.3,9.2,16,Gudeg sayur
390,368,0,0,95,Gula Aren
391,386,3,10,76,Gula Kelapa
392,356,0.4,0.5,90.6,Gula Merah Tebu belum dimurnikan
393,394,0,0,94,Gula putih
394,52,10,0.5,1.8,Gulai asam keueung masakan
395,106,16.5,3.3,2.5,Gulai ikan masakan
396,148,10,9.8,5,Gulai ikan paya masakan
